Timestamp,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,a21,a22,a23,a24,a25,a26,a27,a28,a29,a30,a31,a32,a33,a34,attack
21954,0.0,1.54e-05,0.000122415,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.020547945,0.035168196,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.103921569,1.0,1.0,0.0,0.04,0.02,0.0,0.01,0.0,0.0,0
11696,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.23776908,0.0382263,1.0,1.0,0.0,0.0,0.1,0.07,0.0,1.0,0.049019608,0.05,0.06,0.0,0.0,1.0,1.0,0.0,0.0,1
11654,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.498043053,0.03058104,1.0,1.0,0.0,0.0,0.04,0.06,0.0,1.0,0.039215686,0.04,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1
895,0.0,1.1e-05,0.000119517,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.014677104,0.081039755,0.0,0.0,0.0,0.0,1.0,0.0,0.075,0.029411765,1.0,1.0,0.0,0.13,0.03,0.0,0.0,0.0,0.0,0
16398,0.0,1.53e-05,8.55e-05,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.026418787,0.044342508,0.0,0.0,0.0,0.0,1.0,0.0,0.135,1.0,1.0,1.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0
27641,0.0,5.48e-05,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,1.0,1.562691131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
26991,0.0,1.75e-05,9.76e-05,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.010763209,0.016819572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.12745098,1.0,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0
33776,0.0,5.48e-05,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,1.0,1.562691131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
29345,0.0,5.48e-05,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,1.0,1.562691131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
29268,0.0,1.6e-05,0.000161586,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.067514677,0.105504587,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
27329,0.0,5.48e-05,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,1.0,1.562691131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
11686,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.250489237,0.02293578,1.0,1.0,0.0,0.0,0.07,0.065,0.0,1.0,0.029411765,0.03,0.07,0.0,0.0,1.0,1.0,0.0,0.0,1
16003,0.0,9.99e-06,7.38e-05,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.036203523,0.056574924,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.07254902,1.0,1.0,0.0,0.055,0.05,0.0,0.0,0.0,0.0,0
32275,0.0,5.48e-05,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,1.0,1.562691131,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1
48482,0.0,1.12e-05,4.54e-05,0.0,0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0,0.010763209,0.016819572,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
